ecole_name,ecole_more_inf_url,ecole_voir_la_fiche_url,ecole_title,ecole_ville,ecole_phone,ecole_email,ecole_region,ecole_nb_etudiants,ecole_web_site_url
Institut de droit comparé Edouard-Lambert,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-compare-edouard-lambert-8768.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-compare-edouard-lambert-8768.html,IDCEL,Lyon,,,,,
Institut de droit patrimonial et immobilier,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-patrimonial-et-immobilier-8767.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-patrimonial-et-immobilier-8767.html,IDPI,Lyon,,,,,
Institut de droit et d'économie des affaires,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-et-d-economie-des-affaires-8765.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-droit-et-d-economie-des-affaires-8765.html,IDEA,Lyon,,,,,
Institut de formation et de recherche sur les organisations sanitaires et sociales,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-et-de-recherche-sur-les-organisations-sanitaires-et-sociales-8762.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-formation-et-de-recherche-sur-les-organisations-sanitaires-et-sociales-8762.html,IFROSS,Lyon,,,,,
"Université Jean Moulin Lyon 3, campus de Bourg-en-Bresse",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-campus-de-bourg-en-bresse-8759.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-campus-de-bourg-en-bresse-8759.html,,Bourg-en-Bresse,,,,,
Institut d'études judiciaires,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-judiciaires-8758.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-judiciaires-8758.html,IEJ,Lyon,,,,,
Pôle universitaire de Vichy,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-universitaire-de-vichy-78040.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-pole-universitaire-de-vichy-78040.html,,Vichy,,,,,
"INSEEC Masters of Science, campus de Chambéry",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-inseec-masters-of-science-et-mba-campus-de-chambery-82134.html,,Le Bourget-du-Lac,,,,,
Faculté de droit - Lyon 3,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-8756.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-droit-8756.html,,Lyon,,,,,
Institut d'administration des entreprises - iaelyon School of Management,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-iaelyon-school-of-management-8755.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-administration-des-entreprises-iaelyon-school-of-management-8755.html,IAE,Lyon,,,,,
Faculté des langues,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-langues-8754.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-langues-8754.html,,Lyon,,,,,
Faculté des lettres et civilisations,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-et-civilisations-8753.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-lettres-et-civilisations-8753.html,,Lyon,,,,,
Faculté de philosophie de l'université Jean Moulin,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-philosophie-8752.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-de-philosophie-8752.html,,Lyon,,,,,
Institut d'études du travail de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-du-travail-de-lyon-8746.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-du-travail-de-lyon-8746.html,IETL,Lyon,,,,,
Institut universitaire de technologie Lumière Lyon 2,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-universitaire-de-technologie-lumiere-8745.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-universitaire-de-technologie-lumiere-8745.html,IUT Lumière Lyon 2,Bron,,,,,
Centre de formation des musiciens intervenant à l'école,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-des-musiciens-intervenant-a-l-ecole-8744.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centre-de-formation-des-musiciens-intervenant-a-l-ecole-8744.html,CFMI,Bron,,,,,
Institut de la communication,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-la-communication-8742.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-la-communication-8742.html,ICOM,Bron,,,,,
Institut des sciences et pratiques d'éducation et de formation,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-des-sciences-et-pratiques-d-education-et-de-formation-8741.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-des-sciences-et-pratiques-d-education-et-de-formation-8741.html,ISPEF,Lyon,,,,,
Institut d'études politiques,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-politiques-8740.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-etudes-politiques-8740.html,IEP,Lyon,,,,,
UFR de sciences économiques et de gestion,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-sciences-economiques-et-de-gestion-8739.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-sciences-economiques-et-de-gestion-8739.html,UFR SEG,Lyon,,,,,
UFR des langues,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-langues-8738.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-langues-8738.html,,Lyon,,,,,
Institut de psychologie,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-psychologie-8737.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-de-psychologie-8737.html,,Bron,,,,,
"UFR des lettres, sciences du langage, arts",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-lettres-sciences-du-langage-arts-8736.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-des-lettres-sciences-du-langage-arts-8736.html,Faculté LESLA,Lyon,,,,,
UFR de droit et science politique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-droit-et-science-politique-8735.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-de-droit-et-science-politique-8735.html,FDSP,Lyon,,,,,
UFR temps et territoires,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-temps-et-territoires-8734.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-temps-et-territoires-8734.html,,Bron,,,,,
"UFR d'anthropologie, de sociologie et de science politique",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-d-anthropologie-de-sociologie-et-de-science-politique-8732.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-d-anthropologie-de-sociologie-et-de-science-politique-8732.html,UFR ASSP,Bron,,,,,
Observatoire de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-de-lyon-8725.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-observatoire-de-lyon-8725.html,CRAL,Saint-Genis-Laval,,,,,
"Faculté des sciences et technologies, département génie électrique et des procédés",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-genie-electrique-et-des-procedes-8723.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-genie-electrique-et-des-procedes-8723.html,département GEP,Villeurbanne,,,,,
"Faculté des sciences et technologies, département de physique",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-physique-8707.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-physique-8707.html,,Villeurbanne,,,,,
"Faculté des sciences et technologies, département de chimie et biochimie",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-chimie-et-biochimie-8706.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-chimie-et-biochimie-8706.html,,Villeurbanne,,,,,
"Faculté des sciences et technologies, département de mécanique",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-mecanique-8703.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-mecanique-8703.html,,Villeurbanne,,,,,
"Faculté des sciences et technologies, département de biologie",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-biologie-8702.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-biologie-8702.html,,Villeurbanne,,,,,
"Faculté des sciences et technologies, département de mathématiques",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-mathematiques-8701.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-de-mathematiques-8701.html,,Villeurbanne,,,,,
"Faculté des sciences et technologies, département d'informatique",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-d-informatique-8700.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-faculte-des-sciences-et-technologies-departement-d-informatique-8700.html,,Villeurbanne,,,,,
UFR sciences et techniques des activités physiques et sportives,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-8699.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ufr-sciences-et-techniques-des-activites-physiques-et-sportives-8699.html,UFR STAPS,Villeurbanne,,,,,
Ecole nationale supérieure d'architecture de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-architecture-de-lyon-6376.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-architecture-de-lyon-6376.html,ENSAL,Vaulx-en-Velin,,,,,
Ecole nationale des travaux publics de l'État,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-des-travaux-publics-de-l-etat-6373.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-des-travaux-publics-de-l-etat-6373.html,ENTPE,Vaulx-en-Velin,,,,,
Polyvia formation,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/polyvia-formation.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/polyvia-formation.html,,Lyon,,,,,
École Centrale de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lyon-6367.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lyon-6367.html,Centrale Lyon,Écully,,,,,
Ecole polytechnique universitaire de l'université Lyon 1,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-de-l-universite-lyon-1-6365.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-de-l-universite-lyon-1-6365.html,Polytech Lyon,Villeurbanne,,,,,
"ISARA, campus Lyon",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-isara-lyon-6361.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-isara-lyon-6361.html,,Lyon,,,,,
Institut national des sciences appliquées de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html,INSA Lyon,Villeurbanne,,,,,
Ecole nationale supérieure de police,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-police-6357.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-police-6357.html,ENSP,Saint-Cyr-au-Mont-d'Or,,,,,
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement - campus vétérinaire",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6353.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6353.html,VetAgro Sup,Marcy-l'Étoile,,,,,
"Association régionale pour la formation, la recherche et l'innovation en pratiques sociales",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-association-regionale-pour-la-formation-la-recherche-et-l-innovation-en-pratiques--6346.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-association-regionale-pour-la-formation-la-recherche-et-l-innovation-en-pratiques--6346.html,ARFRIPS,Lyon,,,,,
"Ecole supérieure pour la qualité, l'environnement, la sécurité et la santé en entreprise",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-pour-la-qualite-l-environnement-la-securite-et-la-sante-en-entrep-6297.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-pour-la-qualite-l-environnement-la-securite-et-la-sante-en-entrep-6297.html,ESQESE,Lyon,,,,,
Institution Notre-Dame-des-Minimes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institution-notre-dame-des-minimes-6280.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institution-notre-dame-des-minimes-6280.html,,Lyon,,,,,
Ecole polytechnique universitaire d'Annecy-Chambéry,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-d-annecy-chambery-6579.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-d-annecy-chambery-6579.html,Polytech Annecy-Chambéry,Annecy,,,,,
Institut national des sciences appliquées de Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html,INSA Lyon,Villeurbanne,,,,,
Ecole nationale supérieure de police,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-police-6357.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-police-6357.html,ENSP,Saint-Cyr-au-Mont-d'Or,,,,,
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement - campus vétérinaire",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6353.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6353.html,VetAgro Sup,Marcy-l'Étoile,,,,,
"Association régionale pour la formation, la recherche et l'innovation en pratiques sociales",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-association-regionale-pour-la-formation-la-recherche-et-l-innovation-en-pratiques--6346.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-association-regionale-pour-la-formation-la-recherche-et-l-innovation-en-pratiques--6346.html,ARFRIPS,Lyon,,,,,
"Ecole supérieure pour la qualité, l'environnement, la sécurité et la santé en entreprise",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-pour-la-qualite-l-environnement-la-securite-et-la-sante-en-entrep-6297.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-pour-la-qualite-l-environnement-la-securite-et-la-sante-en-entrep-6297.html,ESQESE,Lyon,,,,,
Institution Notre-Dame-des-Minimes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institution-notre-dame-des-minimes-6280.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institution-notre-dame-des-minimes-6280.html,,Lyon,,,,,
Ecole polytechnique universitaire d'Annecy-Chambéry,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-d-annecy-chambery-6579.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-d-annecy-chambery-6579.html,Polytech Annecy-Chambéry,Annecy,,,,,
SIGMA Clermont,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-sigma-clermont-6031.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-sigma-clermont-6031.html,,Aubière,,,,,
Ecole nationale supérieure d'architecture de Clermont-Ferrand,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-architecture-de-clermont-ferrand-6025.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-architecture-de-clermont-ferrand-6025.html,ENSACF,Clermont-Ferrand,,,,,
"Institut Supérieur d’Informatique, de Modélisation et de leurs Applications",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-informatique-d-auvergne-6020.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-informatique-d-auvergne-6020.html,ISIMA,Aubière,,,,,
"Ecole polytechnique de l'université Clermont Auvergne - Collegium technologies, sciences pour l'ingénieur",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-de-l-universite-clermont-auvergne-collegium-technologies-scien-6019.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-de-l-universite-clermont-auvergne-collegium-technologies-scien-6019.html,Polytech Clermont,Aubière,,,,,
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement - campus agronomique",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6016.html,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-enseignement-superieur-et-de-recherche-en-alimentation-sante-animale-sc-6016.html,VetAgro Sup,Lempdes,,,,,
